Title,Authors,URL,DOI,Published Date,Category,Novelty Overlap,Paper,Use In Project,Why Relevant,Year,Summary
Evaluating Natural Language Processing Applications Applied to Outbreak and Disease Surveillance,"Wendy W. Chapman, J. Dowling, Oleg Ivanov, P. Gesteland, Robert T. Olszewski, J. Espino, M. Wagner",https://www.semanticscholar.org/paper/7fabcc4a0e6c8034aa3d0496bd7eb767e626c750,,2004,NLP evaluation foundation,"Low direct overlap technologically, but important for showing that the extraction problem is longstanding.",Evaluating Natural Language Processing Applications Applied to Outbreak and Disease Surveillance,Historical taxonomy of surveillance NLP tasks and evaluation pitfalls.,Early evaluation of NLP for extracting outbreak-relevant information from free text.,2004,"Much of the pre-existing electronic data that could be harnessed for early outbreak detection is in free-text format. Natural language processing (NLP) techniques may be useful to biosurveillance by classifying and extracting information described in freetext sources. In the Real-time Outbreak and Disease Surveillance laboratory we are developing and evaluating NLP techniques for surveillance of syndromic presentations and specific findings or diseases potentially caused by bioterroristic or naturally-occurring outbreaks. We have implemented a three-stage evaluation process to determine whether NLP techniques are useful for outbreak detection. First, we are evaluating the technical accuracy of the NLP techniques to answer the question “How well can we classify, extract, or encode relevant information from text?” Second, we are evaluating the diagnostic accuracy of the techniques to answer the question “How well can we diagnose patients of interest using the NLP techniques?” Third, we are evaluating the outcome efficacy of the techniques to answer the question “How well can we detect outbreaks with an NLP-based biosurveillance system?” We give examples from our research for all three levels of evaluation and conclude with suggestions for determining whether NLP is feasible for outbreak and disease surveillance. Introduction and Background The appearance of new infectious diseases (e.g., the outbreak of Severe Acute Respiratory Syndrome (SARS) in Asia and Toronto), the reemergence of old infectious diseases (e.g., tuberculosis outbreaks), and the deliberate introduction of infectious diseases through bioterrorism (e.g., October 2001 anthrax attacks) demonstrate the need for surveillance of infectious disease [1]. The United States has not been prepared to deal with biological attacks [2], and biodefense has quickly become a national priority [3]. In response to the need for better biodefense, several research groups have developed electronic surveillance systems [4-13] that monitor a variety of different sources of data including over-the-counter drug sales [14, 15], web-based physician entry of reports [16], 911 calls [17], consumer health hotline telephone calls [18, 19], and ambulatory care visit records [20-24]. Many of the systems monitor pre-existing electronic ED data [25] that typically include date of admission, sex, age, address, coded discharge diagnosis [22, 23, 26], and free-text triage chief complaint [21, 27-30]. Detection algorithms count the number of occurrences of a variable or a combination of variables in a given spatial location over a given time period to look for anomalous patterns [21, 31-33]. If the algorithms detect a significant increase in a given variable, such as the number of patients with a gastrointestinal illness, the detection algorithms alarm relevant medical and public health officials of a possible outbreak. The Real-time Outbreak and Disease Surveillance (RODS) system [34] is a biosurveillance system adherent to the CDC’s NEDSS standards [35] that was developed in 1999 at the University of Pittsburgh and is currently deployed in four states, including Pennsylvania, Utah, New Jersey, and Ohio. For over 100 hospitals in the four states, RODS collects real-time admission data, including age, sex, zip code, and triage chief complaint. Time-series detection algorithms are applied to the information in the database, and the counts of patients with seven types of syndromic presentations are shown in graphical form on the user interface, shown in Figure 1. The interface also includes a geographic information system that shows counts of syndromic presentations by zip code. If the actual number of patients presenting with gastrointestinal complaints, for instance, exceeds the number expected in a given geographical location over a given time period, RODS’ notification subsystem sends an electronic alarm to a team of researchers and public health physicians for possible investigation. RODS software is currently open source [36] and is available for free download at www.health.pitt.edu/rods/sw. Input variables for the detection algorithms in RODS and other biosurveillance systems must be coded data, i.e., data stored in a format that can be interpreted by a computer. For example, a biosurveillance system may monitor the number of patients with Pneumonia, which may indicate a possible outbreak of Influenza, SARS, or inhalational Anthrax. Researchers in medical informatics have developed electronic diagnostic systems integrating multiple sources of data from a patient’s medical record to generate a probability that a patient has Pneumonia [37-39]. The variables required to determine the probability of Pneumonia include age and risk factors, vital signs, symptoms and physical findings, laboratory results, blood gas levels, and chest radiograph results. Values for Figure 1. Interface for Real-time Outbreak and Disease (RODS) system, showing syndromic classifications over a one-week period for all admissions in the specificed jurisdiction. some of the variables are stored in hospital information systems in coded format; however, variables involving a patient’s symptoms and physical findings, such as cough or adventitious respiratory sounds, and the results of a chest radiograph are usually stored as dictated reports in uncoded, free-text format. To use these variables for computerized decision support, the variables must be encoded from the textual reports. A physician reading the reports could easily determine the correct values for the variables. However, paying physicians to encode reports is impractical. A more feasible solution is applying natural language processing (NLP) techniques to convert the freetext data into an encoded representation that can be used for later inference [40]. Over the last few decades the medical informatics community has actively applied NLP techniques to the medical domain [41, 42]. The Linguistic String Project developed one of the first medical NLP systems that included comprehensive semantic and syntactic knowledge [43-49] that has also been ported to French and German [50-55]. Columbia Presbyterian Medical Center has evaluated and deployed a system called MedLEE [56-60] that extracts clinical information from radiology reports, discharge summaries, visit notes, electrocardiography, echocardiography, and pathology notes. MedLEE has been shown to be as accurate as physicians at extracting clinical concepts from chest radiograph reports [61, 62] and has been evaluated for a variety of applications including detecting patients with suspected tuberculosis [63-65], identifying findings suspicious for breast cancer [66], stroke [67], and community acquired Pneumonia [68], and deriving co morbidities from text [69]. Other medical informatics research groups have also created and evaluated NLP systems for extracting clinical information from medical texts and have shown them to be accurate in limited domains [70-86]. NLP techniques have been used for a variety of applications including quality assessment in radiology [87, 88], identification of structures in radiology images [89, 90], facilitation of structured reporting [72, 91] and order entry [92, 93], and encoding variables required by automated decision support systems such as guidelines [94], diagnostic systems [95], and antibiotic therapy alarms [96]. NLP has only recently been applied to the domain of outbreak and disease surveillance, and most of the research has focused on processing free-text chief complaints recorded in the emergency department [97-102]. We have applied NLP techniques to chief complaints, ED reports, and chest radiograph reports in order to acquire coded variables that may be useful in outbreak detection. To quantify the value of NLP in the domain of biosurveillance, we have adapted a hierarchical model of technology assessment from the domain of medical imaging, described by Thornbury and Fryback [103]. First, we have evaluated the technical accuracy of our NLP techniques to answer the question “How well can we classify, extract, or encode relevant information from text?” Second, we have evaluated the diagnostic accuracy of the techniques to answer the question “How well can we diagnose patients of interest using the NLP techniques?” Third, we have evaluated the outcome efficacy of the techniques to answer the question “How well can we detect outbreaks with an NLP-based biosurveillance system?” In the Methods section we describe the three levels of evaluation, using the hypothetical example of Pneumonia surveillance as an example. We briefly describe studies we have performed to evaluate NLP technologies for all three levels of evaluation and provide references for details about the studies. In the Results section we provide results from our research for the three levels of evaluation. In the Discussion section, we discuss implications of our findings and suggest three points to consider when appraising the feasibility of applying NLP to the domain of outbreak detection."
Natural Language Processing for Biosurveillance,"Wendy W. Chapman, A. Gundlapalli, B. R. South, John N. Dowling",https://www.semanticscholar.org/paper/9f8b61d4a3fc073624640e7c701e3cdb95d03172,10.1007/978-1-4419-6892-0_13,2011,Review and problem framing,The problem definition is established; novelty must be demonstrated empirically rather than architecturally.,Natural Language Processing for Biosurveillance,"Terminology, task decomposition, and older clinical-text baselines.",Reviews how free-text clinical and surveillance reports can support outbreak detection and characterization.,2011,"Information described in electronic clinical reports can be useful for both detection and characterization of outbreaks. However, the information is in unstructured, free-text format and is not available to computerized applications. Natural Language processing methods structure free-text information by classifying, extracting, and encoding details from the text. We provide a brief description of the types of natural Language processing techniques that have been applied to the domain of outbreak detection and characterization. We group textual data generated by a healthcare visit into four classes: chief complaints, emergency care notes, hospitalization notes, and discharge reports. For each class of data, we illustrate uses of the data for outbreak detection and characterization with examples from real applications that extract information from text. We conclude that a modest but solid foundation has been laid for natural Language processing of clinical text for the purpose of biosurveillance, with the main focus being on chief complaints. To provide more accurate detection and to assist in investigating and characterizing outbreaks that have already been detected, future research should focus on tools for extracting detailed clinical and epidemiological variables from clinical reports. Areas of challenge include identifying contextual modifiers of clinical conditions, identifying useful temporal information, and integrating information across reports for a more complete view of a patient's clinical state."
Global Variations in Event-Based Surveillance for Disease Outbreak Detection: Time Series Analysis,"Iris Ganser, R. Thiébaut, D. Buckeridge",https://publichealth.jmir.org/2022/10/e36211/PDF,10.2196/36211,2022,EBS validation and limitations,"Not a direct implementation overlap, but essential evidence that report frequency alone is insufficient and performance varies by country.",Global Variations in Event-Based Surveillance for Disease Outbreak Detection: Time Series Analysis,"Design for geography-stratified evaluation, false-positive analysis, and realistic generalization claims.",Compared HealthMap and WHO EIOS reports with FluNet across 24 countries and showed strong variation in sensitivity and timeliness.,2022,"Background Robust and flexible infectious disease surveillance is crucial for public health. Event-based surveillance (EBS) was developed to allow timely detection of infectious disease outbreaks by using mostly web-based data. Despite its widespread use, EBS has not been evaluated systematically on a global scale in terms of outbreak detection performance. Objective The aim of this study was to assess the variation in the timing and frequency of EBS reports compared to true outbreaks and to identify the determinants of variability by using the example of seasonal influenza epidemic in 24 countries. Methods We obtained influenza-related reports between January 2013 and December 2019 from 2 EBS systems, that is, HealthMap and the World Health Organization Epidemic Intelligence from Open Sources (EIOS), and weekly virological influenza counts for the same period from FluNet as the gold standard. Influenza epidemic periods were detected based on report frequency by using Bayesian change point analysis. Timely sensitivity, that is, outbreak detection within the first 2 weeks before or after an outbreak onset was calculated along with sensitivity, specificity, positive predictive value, and timeliness of detection. Linear regressions were performed to assess the influence of country-specific factors on EBS performance. Results Overall, while monitoring the frequency of EBS reports over 7 years in 24 countries, we detected 175 out of 238 outbreaks (73.5%) but only 22 out of 238 (9.2%) within 2 weeks before or after an outbreak onset; in the best case, while monitoring the frequency of health-related reports, we identified 2 out of 6 outbreaks (33%) within 2 weeks of onset. The positive predictive value varied between 9% and 100% for HealthMap and from 0 to 100% for EIOS, and timeliness of detection ranged from 13% to 94% for HealthMap and from 0% to 92% for EIOS, whereas system specificity was generally high (59%-100%). The number of EBS reports available within a country, the human development index, and the country’s geographical location partially explained the high variability in system performance across countries. Conclusions We documented the global variation of EBS performance and demonstrated that monitoring the report frequency alone in EBS may be insufficient for the timely detection of outbreaks. In particular, in low- and middle-income countries, low data quality and report frequency impair the sensitivity and timeliness of disease surveillance through EBS. Therefore, advances in the development and evaluation and EBS are needed, particularly in low-resource settings."
Event-based surveillance at health facility and community level in low-income and middle-income countries: a systematic review,"A. Kuehne, P. Keating, Jonathan A. Polonsky, C. Haskew, K. Schenkel, O. le Polain de Waroux, R. Ratnayake",https://gh.bmj.com/content/bmjgh/4/6/e001878.full.pdf,10.1136/bmjgh-2019-001878,2019,Operational and implementation context,Not a direct algorithmic precedent; it constrains what would count as a useful public-health contribution.,Event-based surveillance at health facility and community level in low-income and middle-income countries: a systematic review,"Operational design, human verification, and deployment criteria.",Synthesizes 15 studies of 13 EBS systems and emphasizes integration with existing response structures.,2019,"Background The International Health Regulations require member states to establish “capacity to detect, assess, notify and report events”. Event-based surveillance (EBS) can contribute to rapid detection of acute public health events. This is particularly relevant in low-income and middle-income countries (LMICs) which may have poor public health infrastructure. To identify best practices, we reviewed the literature on the implementation of EBS in LMICs to describe EBS structures and to evaluate EBS systems. Methods We conducted a systematic literature search of six databases to identify articles that evaluated EBS in LMICs and additionally searched for grey literature. We used a framework approach to facilitate qualitative data synthesis and exploration of patterns across and within articles. Results We identified 778 records, of which we included 15 studies concerning 13 different EBS systems. The 13 EBS systems were set up as community-based surveillance, health facility-based surveillance or open surveillance (ie, notification by non-defined individuals and institutions). Four systems were set up in outbreak settings and nine outside outbreaks. All EBS systems were integrated into existing routine surveillance systems and pre-existing response structures to some extent. EBS was described as useful in detecting a large scope of events, reaching remote areas and guiding outbreak response. Conclusion Health facility and community-based EBS provide valuable information that can strengthen the early warning function of national surveillance systems. Integration into existing early warning and response systems was described as key to generate data for action and to facilitate rapid verification and response. Priority in its implementation should be given to settings that would particularly benefit from EBS strengths. This includes areas most prone to outbreaks and where traditional ‘routine’ surveillance is suboptimal."
Use of Unstructured Event-Based Reports for Global Infectious Disease Surveillance,"Mikaela Keller, Michael Blench, Herman D. Tolentino, C. Freifeld, K. Mandl, A. Mawudeku, G. Eysenbach, J. Brownstein",https://wwwnc.cdc.gov/eid/article/15/5/pdfs/08-1114.pdf,10.3201/eid1505.081114,2009,Open-source intelligence foundation,The data-source concept is established.,Use of Unstructured Event-Based Reports for Global Infectious Disease Surveillance,Conceptual justification for combining informal and official sources.,Examines the role of unstructured reports as a complement to traditional indicator-based surveillance.,2009,Free or low-cost unstructured reports offer an alternative to traditional indicator-based outbreak reporting.
Towards cross-lingual alerting for bursty epidemic events,Nigel Collier,https://jbiomedsem.biomedcentral.com/track/pdf/10.1186/2041-1480-2-S5-S10,10.1186/2041-1480-2-S5-S10,2011,Multilingual alerting,"Cross-lingual alerting is not new; a new contribution would need stronger extraction, localization, or validation.",Towards cross-lingual alerting for bursty epidemic events,Cross-lingual retrieval and alert aggregation baseline.,Addresses multilingual online news and burst detection for epidemic event alerting.,2011,"BackgroundOnline news reports are increasingly becoming a source for event-based early warning systems that detect natural disasters. Harnessing the massive volume of information available from multilingual newswire presents as many challanges as opportunities due to the patterns of reporting complex spatio-temporal events.ResultsIn this article we study the problem of utilising correlated event reports across languages. We track the evolution of 16 disease outbreaks using 5 temporal aberration detection algorithms on text-mined events classified according to disease and outbreak country. Using ProMED reports as a silver standard, comparative analysis of news data for 13 languages over a 129 day trial period showed improved sensitivity, F1 and timeliness across most models using cross-lingual events. We report a detailed case study analysis for Cholera in Angola 2010 which highlights the challenges faced in correlating news events with the silver standard.ConclusionsThe results show that automated health surveillance using multilingual text mining has the potential to turn low value news into high value alerts if informed choices are used to govern the selection of models and data sources. An implementation of the C2 alerting algorithm using multilingual news is available at the BioCaster portal http://born.nii.ac.jp/?page=globalroundup."
Tracking Epidemics with Natural Language Processing and Crowdsourcing,"Robert Munro, L. Gunasekara, Stephanie A. Nevins, Lalith Polepeddi, Evan Rosen",https://www.semanticscholar.org/paper/5c3453fb247e68659d013bf189f6285adcdd8bfc,,2012,Crowdsourced digital surveillance,The human-plus-automation model is established.,Tracking Epidemics with Natural Language Processing and Crowdsourcing,Human-in-the-loop verification and alert triage design.,Frames early outbreak signals as emerging in unstructured natural-language data and combines NLP with human input.,2012,"The first indication of a new outbreak is often in unstructured data (natural language) and reported openly in traditional or social media as a new `flu-like' or `malaria-like' illness weeks or months before the new pathogen is eventually isolated. We present a system for tracking these early signals globally, using natural language processing and crowdsourcing. By comparison, search-log-based approaches, while innovative and inexpensive, are often a trailing signal that follow open reports in plain language. Concentrating on discovering outbreak-related reports in big open data, we show how crowdsourced workers can create near-real-time training data for adaptive active-learning models, addressing the lack of broad coverage training data for tracking epidemics. This is well-suited to an outbreak information-flow context, where sudden bursts of information about new diseases/locations need to be manually processed quickly at short notice."
Beyond early warning: towards greater granularity in the use of event-based surveillance for public health emergencies,"C. McKnight, A. Aboushady, C. Lane",https://bmcpublichealth.biomedcentral.com/counter/pdf/10.1186/s12889-024-20963-2,10.1186/s12889-024-20963-2,2024,Public-health use and granularity,Supports the importance of the problem but does not by itself establish algorithmic novelty.,Beyond early warning: towards greater granularity in the use of event-based surveillance for public health emergencies,"Helps frame localized containment zones as an operational decision-support output, not just a map.",Argues that EBS should support more granular information use beyond simply issuing early alerts.,2024,"The international health emergency caused by the emergence of the SARS-CoV-2 virus demonstrated the expanding usefulness of multi-country disease outbreak information gathered through event-based surveillance (EBS) as an extension beyond the main purposes of early warning, alert, and response (EWAR). In this article, previous events of multi-country outbreaks from 2010–2019 were reviewed for how EBS, within an expanded sphere of Epidemic Intelligence (EI), may help to enhance the understanding of outbreaks for a more timely and nuanced, multiple-point trigger approach to health emergencies. The public, open-source database of ProMed reports were reviewed for the date of first notification on major outbreaks of infectious diseases and then compared for subsequent dates of any new, exceptional epidemiological findings (novel host, settings, transmission characteristics) as a determining factor for prolonged, multi-country events later acknowledged on the WHO disease outbreak news (DON) website, or by peer-reviewed journal publication if no related DON information became available. During the preceding decade, there was an ongoing occurrence of unexpected outbreaks requiring new information about previously unknown pathogens, such as MERS-CoV, and longstanding threats from multiple neglected tropical diseases. During these international outbreaks, key scientific insights about new host species, viral persistence, occurrence of human-to-human spread, and transmission setting, became known over the course of the response. The timeliness between initial alerts of early outbreak detection and key epidemiological evidence about the emerging threat reached far beyond the first warning for the global community. To improve on the best knowledge available for an immediate response, it is recommended that further gathering and documentation from event-based surveillance is engaged to create a more complete assessment for uncontrollable infectious disease outbreaks and epidemics. Enhanced EBS (through modern tools, e.g., Epidemic Intelligence from Open Sources (EIOS) are critical for timely detection and response to such events."
Development of a Vietnamese Language Outbreak Mapping and Surveillance System,"D. Bui, Sumiko R. Mekaru, C. Freifeld, J. Brownstein",https://journals.uic.edu/ojs/index.php/ojphi/article/download/4499/3540,10.5210/OJPHI.V5I1.4499,2013,Country-specific mapping system,Mapping outbreak reports from online text has prior precedent.,Development of a Vietnamese Language Outbreak Mapping and Surveillance System,Regional and language-specific deployment precedent.,Develops an online-media surveillance and mapping system for Vietnamese-language sources.,2013,"Objective To present the development of a surveillance system utilizing online Vietnamese language media sources to detect disease events in Vietnam and the South East Asian Region. Introduction In the South East Asia Region (SEAR), infectious disease continues to be a leading cause of death. SEAR countries, like Vietnam, are also at risk for outbreaks of emerging diseases due to high population density, proximity to animals and deforestation. (1) Given Vietnam’s location in SEAR and its recurrent outbreaks of zoonotic diseases—timely surveillance in Vietnam is critical to global public health. (1) Online news sources have been recognized as potential sources for early detection of emerging disease outbreaks, as was the case with SARS. (2) HealthMap, an innovative disease surveillance system developed at Boston Children’s Hospital, leverages the expediency of online news media by using text-mining technology to monitor and map global disease outbreaks reported by news sources. Methods HealthMap currently monitors disease related news in 15 languages. Building on HealthMap’s existing infrastructure, we translated the system’s existing disease and location name dictionaries to corresponding Vietnamese terms to train the system to detect disease and locations cited in Vietnamese news sources. To ensure comprehensive capture of disease terms, both formal disease names and colloquial synonyms were used. Vietnamese locations were sourced through the official Vietnamese government website. Search queries were developed using a variety of outbreak related terms like “bùng phát” (outbreak) or “bênh” (disease), and specific disease names like “Cúm gia câm” (Avian Influenza). Automated searches are performed in the Vietnamese version of Google News. Results As of August 18, 2012, after 2 months in operation, the system has mapped 433 alerts in 27 diseases reported in the Vietnamese media compared to 7 diseases in English in the same time period. The collected alerts were mapped to 699 province level and district level (or lower) locations compared to only 16 in the English feed. To date, the system collected 38 alerts of Avian Influenza from Vietnamese sources compared to only 2 in English sources; 30 alerts of Dengue compared to 7 in English; and 25 alerts of Hand Foot and Mouth compared to 6. The system also collects outbreak case counts in Vietnam. For example, counts of human Dengue cases in 97 locations in Vietnam were collected, providing a rich dataset for monitoring epidemic spread and progression. The surveillance feed also received 2 reports of outbreaks in crops. Zoonotic disease outbreaks in Vietnam were more comprehensively covered in the Vietnamese feed compared to English. Conclusions Leveraging the expediency of freely available online news media, the developed surveillance system is able to detect and map outbreaks occurring in Vietnam in near real-time, providing health organizations and researchers with timely and comprehensive coverage of disease events to assess pandemic risk and mobilize aid as necessary. Screenshot of HealthMap Vietnamese Alerts"
Evaluation of Internet-Based Informal Surveillance for Global Infectious Disease Intelligence,"J. Brownstein, C. Freifeld",http://www.ijidonline.com/article/S1201971208006139/pdf,10.1016/J.IJID.2008.05.481,2008,System evaluation,The evaluation concept is established; a modern contribution needs stronger event matching and prospective validation.,Evaluation of Internet-Based Informal Surveillance for Global Infectious Disease Intelligence,"Baseline for sensitivity, coverage, and source-bias analysis.",Evaluates internet-based informal surveillance against formal outbreak reporting and highlights geographic coverage issues.,2008,"Background: While traditional means of surveillance by governments, multi-national agencies, and institutional networks assist in reporting and confirming infectious disease outbreaks, these formal sources of information are limited in their geographic coverage and timeliness of information flow. In contrast, Internet-based resources such as discussion sites and online news sources have become invaluable sources for a new wave of surveillance systems. Despite widespread use of unstructured information, there has been little, if any, data evaluation. Methods: Our analysis is informed by evaluation of HealthMap.org, an automated system for real-time monitoring of online information about emerging diseases. In our evaluation, we used officially confirmed outbreaks obtained from WHO Outbreak News, available in the public domain, as a “gold standard” as well as ProMED mail reports. We measured detection characteristics of Google News reports for outbreaks over the 12-month period (October 1 2006–September 30 2007) in both English and Spanish. We apply standard evaluation metrics (volume, geography covered, diseases captured, timeliness, sensitivity and specificity). In a second evaluation, we compared timing of official WHO reports of human avian influenza cases in 2007 with the corresponding reports in both ProMED and news aggregator sources. Results: HealthMap identified 11,194 news reports of infectious disease outbreaks (a mean of 38.6 per day, 95% CI, 33.1 to 44.1) covering 105 pathogens and 160 countries. Mean timeliness for news sources, defined as the time between detection by the surveillance source and report by the WHO, was 31 days. However, timeliness varied widely from 102 days earlier to 59 days after the WHO report. Sensitivity, defined as the proportion of WHO alerts detected by news data, was 88%. Compared to ProMED, news sources reported on outbreaks on average 6.5 days earlier but had a sensitivity of only 44%. In our evaluation of avian influenza surveillance, informal sources reported the case 8.8 days following onset, 2.3 days earlier (95% CI, 0.7, 3.9) than the official WHO report, indicating a significant time advantage for the use of informal sources. Despite important biases, news sources are shown to be especially valuable for monitoring spatial and temporal patterns of larger scale epidemics. Conclusions: Overall, we find that online news sources are a promising tool for surveillance, public health communication and intervention. Future work should be directed at modeling and data integration, including improving risk assessment."
